ab-method	https://github.com/ayoubben18/ab-method	ayoubben18	ab-method
agent-skills	https://github.com/jawwadfirdousi/agent-skills	jawwadfirdousi	agent-skills
agentic-workflow-patterns	https://github.com/ThibautMelen/agentic-workflow-patterns	ThibautMelen	agentic-workflow-patterns
agentsys	https://github.com/avifenesh/agentsys	avifenesh	agentsys
aider	https://github.com/paul-gauthier/aider	paul-gauthier	aider
anthropic-cookbook	https://github.com/anthropics/anthropic-cookbook	anthropics	anthropic-cookbook
anthropic-quickstarts	https://github.com/anthropics/anthropic-quickstarts	anthropics	anthropic-quickstarts
awesome-chatgpt-prompts	https://github.com/f/awesome-chatgpt-prompts	f	awesome-chatgpt-prompts
awesome-claude-code-hesreallyhim	https://github.com/hesreallyhim/awesome-claude-code	hesreallyhim	awesome-claude-code
awesome-claude-code-jqueryscript	https://github.com/jqueryscript/awesome-claude-code	jqueryscript	awesome-claude-code
awesome-claude-code-plugins	https://github.com/ccplugins/awesome-claude-code-plugins	ccplugins	awesome-claude-code-plugins
awesome-claude-code-toolkit	https://github.com/rohitg00/awesome-claude-code-toolkit	rohitg00	awesome-claude-code-toolkit
awesome-claude-plugins	https://github.com/quemsah/awesome-claude-plugins	quemsah	awesome-claude-plugins
aws-mcp-server	https://github.com/alexei-led/aws-mcp-server	alexei-led	aws-mcp-server
ay-skills	https://github.com/ayautomate/ay-skills	ayautomate	ay-skills
cc-devops-skills	https://github.com/akin-ozer/cc-devops-skills	akin-ozer	cc-devops-skills
ccpm	https://github.com/automazeio/ccpm	automazeio	ccpm
ccusage	https://github.com/ryoppippi/ccusage	ryoppippi	ccusage
claude-code	https://github.com/anthropics/claude-code	anthropics	claude-code
claude-code-action	https://github.com/anthropics/claude-code-action	anthropics	claude-code-action
claude-code-agents	https://github.com/undeadlist/claude-code-agents	undeadlist	claude-code-agents
claude-code-base-action	https://github.com/anthropics/claude-code-base-action	anthropics	claude-code-base-action
claude-code-docs	https://github.com/ericbuess/claude-code-docs	ericbuess	claude-code-docs
Claude-Code-Everything-You-Need-to-Know	https://github.com/wesammustafa/Claude-Code-Everything-You-Need-to-Know	wesammustafa	Claude-Code-Everything-You-Need-to-Know
claude-code-hooks-mastery	https://github.com/disler/claude-code-hooks-mastery	disler	claude-code-hooks-mastery
claude-code-infrastructure-showcase	https://github.com/diet103/claude-code-infrastructure-showcase	diet103	claude-code-infrastructure-showcase
Claude-Code-Repos-Index	https://github.com/danielrosehill/Claude-Code-Repos-Index	danielrosehill	Claude-Code-Repos-Index
claude-code-rules	https://github.com/nikiforovall/claude-code-rules	nikiforovall	claude-code-rules
claude-code-showcase	https://github.com/ChrisWiles/claude-code-showcase	ChrisWiles	claude-code-showcase
claude-code-system-prompts	https://github.com/Piebald-AI/claude-code-system-prompts	Piebald-AI	claude-code-system-prompts
claude-code-tips	https://github.com/ykdojo/claude-code-tips	ykdojo	claude-code-tips
claude-code-tools	https://github.com/Prasad-Chalasani/claude-code-tools	Prasad-Chalasani	claude-code-tools
claude-code.el	https://github.com/stevemolitor/claude-code.el	stevemolitor	claude-code.el
claude-code.nvim	https://github.com/greggh/claude-code.nvim	greggh	claude-code.nvim
claude-codex-settings	https://github.com/fcakyon/claude-codex-settings	fcakyon	claude-codex-settings
claude-esp	https://github.com/phiat/claude-esp	phiat	claude-esp
claude-hub	https://github.com/claude-did-this/claude-hub	claude-did-this	claude-hub
claude-mountaineering-skills	https://github.com/dreamiurg/claude-mountaineering-skills	dreamiurg	claude-mountaineering-skills
claude-scientific-skills	https://github.com/K-Dense-AI/claude-scientific-skills	K-Dense-AI	claude-scientific-skills
claude-session-restore	https://github.com/ZENG3LD/claude-session-restore	ZENG3LD	claude-session-restore
claude-skills-jeffallan	https://github.com/jeffallan/claude-skills	jeffallan	claude-skills
claude-skills-robertguss	https://github.com/robertguss/claude-skills	robertguss	claude-skills
claude-tmux	https://github.com/nielsgroen/claude-tmux	nielsgroen	claude-tmux
claude-toolbox	https://github.com/serpro69/claude-toolbox	serpro69	claude-toolbox
claudekit	https://github.com/Carl-Rannaberg/claudekit	Carl-Rannaberg	claudekit
cloudartisan.github.io	https://github.com/cloudartisan/cloudartisan.github.io	cloudartisan	cloudartisan.github.io
compound-engineering-plugin	https://github.com/EveryInc/compound-engineering-plugin	EveryInc	compound-engineering-plugin
container-use	https://github.com/dagger/container-use	dagger	container-use
context-engineering-kit	https://github.com/NeoLabHQ/context-engineering-kit	NeoLabHQ	context-engineering-kit
ContextKit	https://github.com/Cihat-Gunduz/ContextKit	Cihat-Gunduz	ContextKit
continue	https://github.com/continuedev/continue	continuedev	continue
dagger	https://github.com/dagger/dagger	dagger	dagger
dify	https://github.com/langgenius/dify	langgenius	dify
Dippy	https://github.com/ldayton/Dippy	ldayton	Dippy
everything-claude-code	https://github.com/affaan-m/everything-claude-code	affaan-m	everything-claude-code
Flowise	https://github.com/FlowiseAI/Flowise	FlowiseAI	Flowise
gstack	https://github.com/garrytan/gstack	garrytan	gstack
litellm	https://github.com/BerriAI/litellm	BerriAI	litellm
mcp-framework	https://github.com/mcpframework/mcp-framework	mcpframework	mcp-framework
model-context-protocol	https://github.com/anthropics/model-context-protocol	anthropics	model-context-protocol
n8n	https://github.com/n8n-io/n8n	n8n-io	n8n
obsidian-skills	https://github.com/kepano/obsidian-skills	kepano	obsidian-skills
omnara	https://github.com/Ishaan-Sehgal/omnara	Ishaan-Sehgal	omnara
parry	https://github.com/vaporif/parry	vaporif	parry
ralph-for-claude-code	https://github.com/frank-bria/ralph-for-claude-code	frank-bria	ralph-for-claude-code
ralph-orchestrator	https://github.com/mikeyobrien/ralph-orchestrator	mikeyobrien	ralph-orchestrator
ralph-playbook	https://github.com/claytonfarr/ralph-playbook	claytonfarr	ralph-playbook
ralph-wiggum-bdd	https://github.com/marcindulak/ralph-wiggum-bdd	marcindulak	ralph-wiggum-bdd
repomix	https://github.com/yamadashy/repomix	yamadashy	repomix
servers	https://github.com/modelcontextprotocol/servers	modelcontextprotocol	servers
skill-codex	https://github.com/skills-directory/skill-codex	skills-directory	skill-codex
skills	https://github.com/trailofbits/skills	trailofbits	skills
sudocode	https://github.com/sudocode-ai/sudocode	sudocode-ai	sudocode
superpowers	https://github.com/obra/superpowers	obra	superpowers
system-prompts-and-models-of-ai-tools	https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools	x1xhlol	system-prompts-and-models-of-ai-tools
taches-cc-resources	https://github.com/glittercowboy/taches-cc-resources	glittercowboy	taches-cc-resources
web-asset-generator	https://github.com/alonw0/web-asset-generator	alonw0	web-asset-generator
zed	https://github.com/zed-industries/zed	zed-industries	zed
